flight,speed,payload,altitude,date,local_time,route
1,4.0,0.0,25,2019-04-07,10:13,R5
2,4.0,0.0,50,2019-04-07,10:23,R5
3,6.0,0.0,25,2019-04-07,10:33,R5
4,8.0,0.0,25,2019-04-07,10:48,R5
5,4.0,0.0,25,2019-04-07,11:05,R2
6,4.0,0.0,25,2019-04-07,11:18,R3
7,4.0,0.0,25,2019-05-06,15:43,R4
8,4.0,0.0,25,2019-05-06,15:56,R1
10,6.0,0.0,25,2019-05-06,16:08,R1
12,10.0,0.0,25,2019-05-06,16:19,R1
14,12.0,250.0,25,2019-05-06,16:37,R1
15,10.0,250.0,25,2019-05-06,16:42,R1
16,8.0,250.0,25,2019-05-06,16:47,R1
17,6.0,250.0,25,2019-05-06,16:53,R1
18,4.0,250.0,25,2019-05-06,17:06,R1
20,8.0,250.0,50,2019-05-06,17:18,R1
23,12.0,250.0,50,2019-05-06,17:37,R1
59,10.0,250.0,50,2019-06-05,15:27,R1
60,12.0,250.0,75,2019-06-05,15:38,R1
68,12.0,250.0,100,2019-06-05,16:54,R1
76,4.0,750.0,25,2019-06-11,9:36,R1
77,12.0,0.0,25,2019-06-11,9:52,R1
78,6.0,0.0,50,2019-06-11,9:57,R1
79,10.0,0.0,50,2019-06-11,10:05,R1
80,12.0,0.0,50,2019-06-11,10:13,R1
81,6.0,0.0,75,2019-06-11,10:21,R1
82,8.0,0.0,75,2019-06-11,10:30,R1
83,12.0,0.0,75,2019-06-11,10:36,R1
84,6.0,0.0,100,2019-06-11,10:43,R1
85,10.0,0.0,100,2019-06-11,10:53,R1
86,12.0,0.0,100,2019-06-11,10:58,R1
87,4.0,250.0,100,2019-06-11,11:09,R1
88,8.0,250.0,100,2019-06-11,11:18,R1
91,10.0,500.0,75,2019-06-19,16:25,R1
92,12.0,500.0,75,2019-06-19,16:35,R1
93,6.0,500.0,50,2019-06-19,16:45,R1
94,4.0,500.0,50,2019-06-19,16:55,R1
95,10.0,500.0,50,2019-06-19,17:05,R1
96,6.0,500.0,75,2019-06-19,17:15,R1
97,4.0,500.0,75,2019-06-19,17:25,R1
98,12.0,500.0,25,2019-06-19,17:35,R1
99,8.0,500.0,75,2019-06-19,17:45,R1
100,12.0,500.0,50,2019-06-19,17:55,R1
101,8.0,500.0,50,2019-06-19,18:05,R1
102,4.0,500.0,100,2019-06-19,18:15,R1
105,6.0,500.0,100,2019-06-19,18:35,R1
106,10.0,500.0,100,2019-06-19,18:45,R1
107,12.0,500.0,100,2019-06-19,18:55,R1
108,6.0,0.0,25,2019-06-24,22:31,R1
109,4.0,500.0,75,2019-06-24,10:39,R1
110,4.0,0.0,75,2019-06-24,10:50,R1
111,12.0,250.0,25,2019-06-24,10:59,R1
112,6.0,500.0,75,2019-06-24,10:06,R1
113,12.0,250.0,100,2019-06-24,11:15,R1
114,10.0,0.0,75,2019-06-24,11:20,R1
115,8.0,500.0,25,2019-06-24,11:28,R1
116,12.0,0.0,25,2019-06-24,11:34,R1
117,10.0,0.0,50,2019-06-24,11:40,R1
118,4.0,250.0,100,2019-06-24,11:47,R1
119,8.0,0.0,50,2019-06-24,11:54,R1
120,10.0,250.0,25,2019-06-25,10:28,R1
121,6.0,0.0,50,2019-06-25,10:36,R1
122,10.0,500.0,75,2019-06-25,10:44,R1
123,6.0,250.0,100,2019-06-25,10:50,R1
124,8.0,0.0,25,2019-06-25,10:57,R1
125,4.0,250.0,75,2019-06-25,11:05,R1
126,4.0,500.0,100,2019-06-25,11:13,R1
127,8.0,250.0,50,2019-06-25,11:21,R1
128,8.0,0.0,100,2019-06-25,11:29,R1
129,12.0,500.0,75,2019-06-25,11:36,R1
130,10.0,500.0,50,2019-06-25,11:45,R1
131,4.0,0.0,100,2019-06-25,11:53,R1
134,12.0,500.0,50,2019-06-29,12:15,R1
135,4.0,250.0,25,2019-06-29,12:20,R1
136,8.0,250.0,25,2019-06-29,12:40,R1
137,8.0,250.0,100,2019-06-29,13:10,R1
138,8.0,500.0,100,2019-06-29,13:26,R1
139,12.0,0.0,50,2019-06-29,13:33,R1
140,4.0,500.0,25,2019-06-29,13:40,R1
141,12.0,0.0,75,2019-06-29,13:47,R1
142,8.0,250.0,75,2019-07-01,13:54,R1
143,12.0,0.0,75,2019-07-01,14:01,R1
144,8.0,500.0,50,2019-07-01,14:08,R1
145,6.0,500.0,100,2019-07-01,14:15,R1
146,10.0,0.0,25,2019-07-01,14:22,R1
147,6.0,250.0,75,2019-07-01,14:29,R1
148,4.0,0.0,50,2019-07-01,14:36,R1
149,10.0,250.0,75,2019-07-03,15:03,R1
150,12.0,0.0,100,2019-07-03,3:10,R1
151,12.0,250.0,50,2019-07-03,15:17,R1
152,10.0,500.0,100,2019-07-03,15:28,R1
153,10.0,250.0,100,2019-07-03,15:35,R1
154,6.0,250.0,50,2019-07-03,15:43,R1
155,12.0,500.0,100,2019-07-03,15:50,R1
156,4.0,500.0,50,2019-07-03,15:56,R1
157,10.0,250.0,50,2019-07-03,16:05,R1
158,12.0,250.0,75,2019-07-03,16:10,R1
159,6.0,250.0,25,2019-07-03,16:16,R1
160,4.0,250.0,50,2019-07-03,16:25,R1
162,8.0,500.0,75,2019-07-03,16:35,R1
163,6.0,0.0,75,2019-07-03,16:41,R1
164,10.0,0.0,100,2019-07-03,16:50,R1
165,8.0,0.0,75,2019-07-03,16:56,R1
166,6.0,500.0,50,2019-07-09,11:23,R1
167,10.0,500.0,25,2019-07-09,11:35,R1
168,10.0,250.0,75,2019-07-09,11:42,R1
169,6.0,0.0,50,2019-07-09,11:49,R1
170,6.0,0.0,25,2019-07-09,11:56,R1
171,12.0,0.0,25,2019-07-09,12:03,R1
172,6.0,0.0,100,2019-07-09,12:09,R1
173,6.0,250.0,100,2019-07-09,11:17,R1
174,12.0,250.0,75,2019-07-09,12:26,R1
175,6.0,0.0,75,2019-07-09,12:34,R1
176,8.0,0.0,100,2019-07-09,12:40,R1
177,10.0,0.0,25,2019-07-09,12:50,R1
178,10.0,500.0,25,2019-07-10,8:23,R1
179,6.0,500.0,100,2019-07-10,8:28,R1
180,10.0,500.0,75,2019-07-10,8:35,R1
181,6.0,250.0,50,2019-07-10,8:44,R1
182,8.0,500.0,50,2019-07-10,8:57,R1
183,12.0,500.0,25,2019-07-10,9:07,R1
184,4.0,500.0,100,2019-07-10,9:12,R1
185,10.0,250.0,50,2019-07-10,9:22,R1
186,12.0,0.0,75,2019-07-10,9:30,R1
187,12.0,250.0,25,2019-07-10,9:37,R1
188,4.0,0.0,100,2019-07-10,9:45,R1
189,8.0,250.0,25,2019-07-10,9:56,R1
190,10.0,250.0,100,2019-07-10,10:03,R1
191,12.0,250.0,100,2019-07-15,7:26,R1
192,12.0,0.0,50,2019-07-15,7:34,R1
193,4.0,500.0,50,2019-07-15,7:46,R1
194,12.0,0.0,100,2019-07-15,7:53,R1
195,8.0,250.0,100,2019-07-15,8:05,R1
196,12.0,250.0,50,2019-07-15,8:12,R1
197,10.0,250.0,25,2019-07-15,8:20,R1
198,10.0,0.0,50,2019-07-15,8:26,R1
199,4.0,250.0,50,2019-07-15,8:35,R1
200,4.0,500.0,25,2019-07-15,8:46,R1
201,4.0,250.0,75,2019-07-15,8:54,R1
202,4.0,250.0,25,2019-07-15,9:02,R1
203,8.0,0.0,25,2019-07-15,9:11,R1
204,6.0,250.0,25,2019-07-15,9:18,R1
205,6.0,500.0,25,2019-07-15,9:25,R1
206,8.0,250.0,75,2019-07-15,9:33,R1
207,8.0,0.0,50,2019-07-15,9:41,R1
208,6.0,250.0,75,2019-07-15,9:49,R1
209,6.0,500.0,50,2019-07-15,9:57,R1
210,4.0,250.0,100,2019-07-15,10:05,R1
211,0.0,0.0,0,2019-07-18,9:20,A1
212,0.0,0.0,0,2019-07-18,9:25,A1
213,0.0,0.0,0,2019-07-18,9:30,A1
214,0.0,0.0,0,2019-07-18,9:36,A2
215,0.0,0.0,0,2019-07-18,9:42,A2
216,0.0,0.0,0,2019-07-18,9:49,A2
217,0.0,0.0,0,2019-07-18,9:52,A3
218,0.0,0.0,0,2019-07-18,10:01,A3
219,0.0,0.0,0,2019-07-18,10:04,A3
221,0.0,0.0,3,2019-07-18,14:22,H
222,0.0,0.0,3,2019-07-18,14:27,H
223,0.0,0.0,3,2019-07-18,14:32,H
224,0.0,0.0,3,2019-07-18,14:36,H
225,8.0,250.0,75,2019-07-24,16:00,R1
226,8.0,500.0,75,2019-07-24,16:07,R1
227,6.0,0.0,100,2019-07-24,16:14,R1
228,10.0,500.0,100,2019-07-24,16:22,R1
229,10.0,0.0,50,2019-07-24,16:28,R1
230,6.0,500.0,25,2019-07-24,16:34,R1
231,8.0,500.0,100,2019-07-24,16:41,R1
232,12.0,500.0,100,2019-07-24,16:48,R1
233,4.0,0.0,50,2019-07-24,16:54,R1
234,10.0,0.0,100,2019-07-24,17:02,R1
235,12.0,500.0,25,2019-07-24,17:09,R1
236,12.0,500.0,50,2019-07-24,17:16,R1
237,4.0,0.0,100,2019-07-24,17:25,R1
238,4.0,500.0,50,2019-07-24,17:32,R1
239,4.0,500.0,75,2019-07-24,17:41,R1
240,6.0,500.0,75,2019-07-24,17:47,R1
241,10.0,0.0,75,2019-08-05,16:09,R1
242,8.0,500.0,100,2019-08-05,16:18,R1
243,4.0,500.0,25,2019-08-05,16:31,R1
246,8.0,0.0,100,2019-08-05,17:12,R1
247,8.0,0.0,75,2019-08-05,17:20,R1
248,4.0,250.0,75,2019-08-05,17:28,R1
249,8.0,0.0,50,2019-08-05,17:36,R1
250,10.0,250.0,100,2019-08-05,17:44,R1
251,8.0,250.0,50,2019-08-05,17:52,R1
252,12.0,500.0,75,2019-08-05,18:00,R1
253,10.0,500.0,25,2019-08-05,18:08,R1
254,10.0,500.0,50,2019-08-05,18:16,R1
255,6.0,500.0,25,2019-08-05,18:24,R1
256,10.0,250.0,75,2019-08-05,18:32,R1
257,6.0,250.0,75,2019-08-05,18:36,R1
258,4.0,250.0,50,2019-08-05,18:44,R1
260,4.0,0.0,75,2019-08-05,18:55,R1
261,6.0,250.0,50,2019-08-05,19:00,R1
262,10.0,0.0,75,2019-08-05,19:09,R1
263,4.0,0.0,75,2019-08-05,19:20,R1
264,6.0,250.0,100,2019-08-05,19:26,R1
267,8.0,500.0,25,2019-09-19,9:30,R1
268,6.0,500.0,25,2019-09-19,9:54,R6
269,12.0,500.0,25,2019-09-19,10:03,R6
270,10.0,250.0,75,2019-09-19,10:10,R6
271,10.0,0.0,25,2019-09-19,10:22,R6
272,4.0,250.0,50,2019-09-19,10:29,R6
275,8.0,500.0,25,2019-10-24,9:05,R1
276,10.0,500.0,25,2019-10-24,9:32,R1
277,10.0,500.0,25,2019-10-24,9:45,R1
278,10.0,500.0,25-50-100-25,2019-10-24,10:00,R7
279,10.0,0.0,25-50-100-25,2019-10-24,10:10,R7
