size,variant_index,tower_count,stop_count,vehicle_count,uavs_per_vehicle,seed,uncertainty,method,candidate_mode,nearest_per_tower,scenario_id,milp_status,milp_reference_scope,milp_optimizes_rwct,milp_completion_time_scope,total_candidate_pairs,screened_pair_count,candidate_pair_reduction,feasible_candidate_pairs,baseline_family,baseline_candidate_evaluations,baseline_generations,baseline_population_size,baseline_ant_count,baseline_best_order_score,implementation_family,service_graph_pattern_count,service_graph_feasible_count,selected_sortie_count,missed_service_count,duplicate_service_count,objective_rwct,objective_makespan,objective_ground_travel,objective_q95_energy,objective_missed_penalty,objective_duplicate_penalty,objective_total,alns_use_quantile,alns_risk_value_weight,alns_adaptive_enabled,alns_accepted_moves,alns_improving_moves,alns_rejected_moves,alns_best_updates,alns_objective_evaluations,alns_score_cache_size,alns_repair_position_evaluations,alns_portfolio_candidate_count,alns_selected_portfolio_candidate,alns_selected_portfolio_infeasible_count,alns_selected_portfolio_rwct,alns_selected_portfolio_makespan,destroy_random_removal_uses,destroy_worst_energy_removal_uses,destroy_shaw_related_removal_uses,destroy_path_segment_removal_uses,destroy_uav_chain_removal_uses,repair_greedy_insert_repair_uses,repair_regret_insert_repair_uses,repair_energy_minimum_insert_repair_uses,repair_synchronization_aware_insert_repair_uses,makespan,total_vehicle_distance,expected_energy,energy_violation_rate,infeasible_sortie_rate,risk_weighted_completion_time,top_risk_coverage,feasible_top_risk_coverage,sortie_count,avg_towers_per_sortie,missed_value,solver_runtime,objective_value,milp_gap,optimality_gap_pct
CASE,0,200,100,4,3,0,high,alns_fixed,kmeans,3,CASE200_P100_seed0_high_kmeans100,not_milp,not_milp,False,not_milp,20000,600,0.97,389,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,32107.0,3499.0,127.0,0.0,0.0,367.931761,781.730246,1536.253277,10692.128292,0.0,0.0,1747.115967,False,0.0,True,51.0,27.0,29.0,12.0,81.0,200.0,2428.0,1.0,alns_search,0.0,367.931761,781.730246,10.0,11.0,23.0,12.0,24.0,19.0,21.0,26.0,14.0,781.730246,1792.29549,7554.472572,0.188976,0.188976,367.931761,0.3,0.3,127,1.574803,0,3.227218,1747.115967,0.0,0.0
CASE,0,200,100,4,3,0,high,alns_pinn,kmeans,3,CASE200_P100_seed0_high_kmeans100,not_milp,not_milp,False,not_milp,20000,600,0.97,389,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,32107.0,3499.0,127.0,0.0,0.0,367.931761,781.730246,1536.253277,10692.128292,0.0,0.0,1747.115967,False,0.0,True,51.0,27.0,29.0,12.0,81.0,200.0,2428.0,1.0,alns_search,0.0,367.931761,781.730246,10.0,11.0,23.0,12.0,24.0,19.0,21.0,26.0,14.0,781.730246,1792.29549,7554.472572,0.188976,0.188976,367.931761,0.3,0.3,127,1.574803,0,3.357418,1747.115967,0.0,0.0
CASE,0,200,100,4,3,0,high,alns_pinn_full,kmeans,3,CASE200_P100_seed0_high_kmeans100,not_milp,not_milp,False,not_milp,20000,600,0.97,389,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,32107.0,876.0,194.0,0.0,0.0,250.337527,867.469264,2096.69583,11838.171479000008,0.0,0.0,87240.9362148116,True,0.25,True,66.0,36.0,14.0,7.0,81.0,200.0,2365.0,7.0,risk_bucket_stop_4,0.0,250.337527,867.469264,14.0,11.0,9.0,20.0,26.0,17.0,19.0,16.0,28.0,942.834172,2767.639949,8364.203956,0.0,0.0,250.337527,1.0,1.0,194,1.030928,0,3.57182,87240.9362148116,0.0,0.0
CASE,0,200,100,4,3,1,high,alns_fixed,kmeans,3,CASE200_P100_seed1_high_kmeans100,not_milp,not_milp,False,not_milp,20000,598,0.9701,299,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,31624.0,2433.0,119.0,0.0,0.0,404.196044,795.856417,1651.990224,11874.33874,0.0,0.0,1916.000224,False,0.0,True,60.0,31.0,20.0,12.0,81.0,200.0,2711.0,1.0,alns_search,0.0,404.196044,795.856417,7.0,14.0,33.0,17.0,9.0,15.0,16.0,35.0,14.0,795.856417,1927.321928,7649.952859,0.218487,0.218487,404.196044,0.24,0.24,119,1.680672,0,3.522827,1916.000224,0.0,0.0
CASE,0,200,100,4,3,1,high,alns_pinn,kmeans,3,CASE200_P100_seed1_high_kmeans100,not_milp,not_milp,False,not_milp,20000,598,0.9701,299,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,31624.0,2433.0,119.0,0.0,0.0,404.196044,795.856417,1651.990224,11874.33874,0.0,0.0,1916.000224,False,0.0,True,60.0,31.0,20.0,12.0,81.0,200.0,2711.0,1.0,alns_search,0.0,404.196044,795.856417,7.0,14.0,33.0,17.0,9.0,15.0,16.0,35.0,14.0,795.856417,1927.321928,7649.952859,0.218487,0.218487,404.196044,0.24,0.24,119,1.680672,0,3.580605,1916.000224,0.0,0.0
CASE,0,200,100,4,3,1,high,alns_pinn_full,kmeans,3,CASE200_P100_seed1_high_kmeans100,not_milp,not_milp,False,not_milp,20000,598,0.9701,299,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,31624.0,552.0,192.0,0.0,0.0,244.640338,851.999378,2074.001017,13261.174221999998,0.0,0.0,86096.9562102652,True,0.25,True,50.0,22.0,30.0,0.0,81.0,200.0,2576.0,7.0,risk_bucket_stop_4,0.0,244.640338,851.999378,18.0,11.0,13.0,22.0,16.0,13.0,22.0,26.0,19.0,931.285287,2770.216495,8558.309654,0.0,0.0,244.640338,1.0,1.0,192,1.041667,0,3.939305,86096.9562102652,0.0,0.0
CASE,0,200,100,4,3,2,high,alns_fixed,kmeans,3,CASE200_P100_seed2_high_kmeans100,not_milp,not_milp,False,not_milp,20000,584,0.9708,373,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,28580.0,3033.0,145.0,0.0,0.0,406.849051,839.796929,1727.85179,12092.113717,0.0,0.0,1956.804988,False,0.0,True,61.0,28.0,19.0,10.0,81.0,200.0,2413.0,1.0,alns_search,0.0,406.849051,839.796929,5.0,22.0,13.0,16.0,24.0,17.0,20.0,21.0,22.0,839.79693,2015.827088,8445.79669,0.172414,0.172414,406.849051,0.36,0.36,145,1.37931,163.8907,2.943966,1956.804988,0.0,0.0
CASE,0,200,100,4,3,2,high,alns_pinn,kmeans,3,CASE200_P100_seed2_high_kmeans100,not_milp,not_milp,False,not_milp,20000,584,0.9708,373,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,28580.0,3033.0,145.0,0.0,0.0,406.849051,839.796929,1727.85179,12092.113717,0.0,0.0,1956.804988,False,0.0,True,61.0,28.0,19.0,10.0,81.0,200.0,2413.0,1.0,alns_search,0.0,406.849051,839.796929,5.0,22.0,13.0,16.0,24.0,17.0,20.0,21.0,22.0,839.79693,2015.827088,8445.79669,0.172414,0.172414,406.849051,0.36,0.36,145,1.37931,163.8907,2.939539,1956.804988,0.0,0.0
CASE,0,200,100,4,3,2,high,alns_pinn_full,kmeans,3,CASE200_P100_seed2_high_kmeans100,not_milp,not_milp,False,not_milp,20000,584,0.9708,373,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,28580.0,833.0,197.0,0.0,0.0,271.086693,904.151687,2113.9963689999995,13030.521950000002,0.0,0.0,91034.08837325193,True,0.25,True,48.0,26.0,32.0,7.0,81.0,200.0,2665.0,7.0,risk_bucket_stop_4,1.0,271.086693,904.151687,9.0,7.0,29.0,24.0,11.0,11.0,15.0,29.0,25.0,979.338489,2796.157679,9253.260214,0.005076,0.005076,271.086693,1.0,0.98,197,1.015228,163.8907,3.203436,91034.08837325193,0.0,0.0
CASE,0,200,100,4,3,3,high,alns_fixed,kmeans,3,CASE200_P100_seed3_high_kmeans100,not_milp,not_milp,False,not_milp,20000,600,0.97,341,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,32975.0,2845.0,122.0,0.0,0.0,312.782399,811.189234,1703.750474,11366.05181,0.0,0.0,1782.000474,False,0.0,True,55.0,30.0,25.0,14.0,81.0,200.0,2733.0,1.0,alns_search,0.0,312.782399,811.189234,11.0,26.0,23.0,12.0,8.0,24.0,15.0,19.0,22.0,811.189234,1987.708887,7824.994496,0.254098,0.254098,312.782399,0.4,0.4,122,1.639344,0,3.896666,1782.000474,0.0,0.0
CASE,0,200,100,4,3,3,high,alns_pinn,kmeans,3,CASE200_P100_seed3_high_kmeans100,not_milp,not_milp,False,not_milp,20000,600,0.97,341,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,32975.0,2845.0,122.0,0.0,0.0,312.782399,811.189234,1703.750474,11366.05181,0.0,0.0,1782.000474,False,0.0,True,55.0,30.0,25.0,14.0,81.0,200.0,2733.0,1.0,alns_search,0.0,312.782399,811.189234,11.0,26.0,23.0,12.0,8.0,24.0,15.0,19.0,22.0,811.189234,1987.708887,7824.994496,0.254098,0.254098,312.782399,0.4,0.4,122,1.639344,0,3.784638,1782.000474,0.0,0.0
CASE,0,200,100,4,3,3,high,alns_pinn_full,kmeans,3,CASE200_P100_seed3_high_kmeans100,not_milp,not_milp,False,not_milp,20000,600,0.97,341,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,32975.0,719.0,194.0,0.0,0.0,238.116649,893.883617,2158.2625150000003,12414.427325999999,0.0,0.0,88178.54974865098,True,0.25,True,58.0,26.0,22.0,6.0,81.0,200.0,2629.0,7.0,risk_bucket_stop_4,0.0,238.116649,893.883617,8.0,26.0,22.0,11.0,13.0,25.0,14.0,20.0,21.0,972.346971,2862.494271,8546.751951,0.0,0.0,238.116649,1.0,1.0,194,1.030928,0,3.845371,88178.54974865098,0.0,0.0
CASE,0,200,100,4,3,4,high,alns_fixed,kmeans,3,CASE200_P100_seed4_high_kmeans100,not_milp,not_milp,False,not_milp,20000,594,0.9703,342,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,31366.0,2846.0,104.0,0.0,0.0,370.694626,842.31054,1643.354818,11358.482468,0.0,0.0,1839.340462,False,0.0,True,45.0,19.0,35.0,4.0,81.0,200.0,2621.0,1.0,alns_search,0.0,370.694626,842.31054,13.0,15.0,28.0,11.0,13.0,22.0,13.0,28.0,17.0,842.31054,1917.247288,7701.482041,0.355769,0.355769,370.694626,0.34,0.34,104,1.923077,0,3.498646,1839.340462,0.0,0.0
CASE,0,200,100,4,3,4,high,alns_pinn,kmeans,3,CASE200_P100_seed4_high_kmeans100,not_milp,not_milp,False,not_milp,20000,594,0.9703,342,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,31366.0,2846.0,104.0,0.0,0.0,370.694626,842.31054,1643.354818,11358.482468,0.0,0.0,1839.340462,False,0.0,True,45.0,19.0,35.0,4.0,81.0,200.0,2621.0,1.0,alns_search,0.0,370.694626,842.31054,13.0,15.0,28.0,11.0,13.0,22.0,13.0,28.0,17.0,842.31054,1917.247288,7701.482041,0.355769,0.355769,370.694626,0.34,0.34,104,1.923077,0,3.657858,1839.340462,0.0,0.0
CASE,0,200,100,4,3,4,high,alns_pinn_full,kmeans,3,CASE200_P100_seed4_high_kmeans100,not_milp,not_milp,False,not_milp,20000,594,0.9703,342,,0.0,0.0,0.0,0.0,0.0,stop_batch_schedule_state_alns,31366.0,693.0,194.0,0.0,0.0,224.190135,862.234149,2093.8704089999997,12598.738089000002,0.0,0.0,85358.50427628962,True,0.25,True,54.0,24.0,26.0,4.0,81.0,200.0,2564.0,7.0,risk_bucket_stop_4,0.0,224.190135,862.234149,12.0,21.0,14.0,17.0,16.0,20.0,27.0,19.0,14.0,938.357721,2784.665956,8586.396641,0.0,0.0,224.190135,1.0,1.0,194,1.030928,0,4.068814,85358.50427628962,0.0,0.0
